# files parsed: 687; parse failures: 0
status	note	area	location	kind	op	table	owned	constraint	key	expression
global	no tenant table: pg_constraint — system catalog	console	app/Console/Commands/AuditMaterialGovernance.php:69	raw	read	pg_constraint	-	none:-	59abee7b52	\Illuminate\Support\Facades\DB::selectOne("SELECT pg_get_constraintdef(oid) AS def FROM pg_constraint WHERE conname = ?", [$constraintName])
global	no tenant table: information_schema.tables — system catalog	console	app/Console/Commands/AuditMaterialGovernance.php:136	raw	read	information_schema.tables	-	none:-	557c18514c	\Illuminate\Support\Facades\DB::select("SELECT table_name FROM information_schema.tables\n WHERE table_schema = 'public' AND table_name LIKE ?", [$prefix . '%'])
UNREAD		console	app/Console/Commands/AuditMaterialGovernance.php:196	raw	read	shop_enabled_metals	shop_id	none:-	1247274dc5	\Illuminate\Support\Facades\DB::table('shop_enabled_metals')->whereRaw('enabled IS TRUE')->whereNotIn('metal_type', $supportedAll)->get()
global	no tenant table: information_schema.triggers — system catalog	console	app/Console/Commands/AuditMaterialGovernance.php:243	raw	read	information_schema.triggers	-	none:-	6f19aeb493	\Illuminate\Support\Facades\DB::select("SELECT DISTINCT trigger_name FROM information_schema.triggers WHERE trigger_schema = 'public'")
UNREAD		console	app/Console/Commands/BackfillAccountingSnapshots.php:72	raw	read	?	?	none:-	253ee3a641	\Illuminate\Support\Facades\DB::table($table)->where(function (\Illuminate\Database\Query\Builder $builder) { $builder->whereNull('payment_method_label_snapshot')->orWhere('payment_method_label_snapshot', ''); })->orderBy('id')
UNREAD		console	app/Console/Commands/BackfillAccountingSnapshots.php:93	removed	read	shop_payment_methods	shop_id	key:other	d8a63106e2	\App\Models\ShopPaymentMethod::withoutTenant()->whereIn('id', $methodIds)->get()->keyBy('id')
UNREAD		console	app/Console/Commands/BackfillAccountingSnapshots.php:106	raw	WRITE	?	?	key:record?	cfb10868d8	\Illuminate\Support\Facades\DB::table($table)->where('id', $row->id)->update(['payment_method_label_snapshot' => $label])
UNREAD		console	app/Console/Commands/CheckShopHealthAlerts.php:42	unscoped	read	platform_audit_logs	convention:target	key:record?	08cb437cae	\App\Models\Platform\PlatformAuditLog::query()->where('action', 'shop.health_alert_low')->where('target_type', \App\Models\Shop::class)->where('target_id', $shop->id)->where('created_at', '>=', now()->subHours(24))->exists()
UNREAD		console	app/Console/Commands/CheckSubscriptionExpiry.php:29	unscoped	read	shop_subscriptions	shop_id	none:-	927fa4f64b	\App\Models\Platform\ShopSubscription::whereIn('status', ['active', 'trial'])->where('ends_at', '<', $today)->with('plan')->get()
UNREAD		console	app/Console/Commands/CheckSubscriptionExpiry.php:80	unscoped	WRITE	subscription_events	shop_id	insert:record?	e17ee1e215	\App\Models\Platform\SubscriptionEvent::create(['shop_subscription_id' => $subscription->id, 'shop_id' => $subscription->shop_id, 'admin_id' => null, 'event_type' => 'subscription.auto_expired', 'before' => $before, 'after' => $subscription->fresh()->toArray(), 'reason' => $superseded ? "Auto-transitioned to {$newStatus} by scheduler (superseded by a newer live subscription — shop unaffected)" : "Auto-transitioned to {$newStatus} by scheduler"])
UNREAD		console	app/Console/Commands/CheckSubscriptionExpiry.php:124	unscoped	read	shop_subscriptions	shop_id	none:-	24a2234461	\App\Models\Platform\ShopSubscription::where('status', 'grace')->whereNotNull('grace_ends_at')->where('grace_ends_at', '<', $today)->with('plan')->get()
UNREAD		console	app/Console/Commands/CheckSubscriptionExpiry.php:140	unscoped	WRITE	subscription_events	shop_id	insert:record?	f1e6a769ec	\App\Models\Platform\SubscriptionEvent::create(['shop_subscription_id' => $subscription->id, 'shop_id' => $subscription->shop_id, 'admin_id' => null, 'event_type' => 'subscription.grace_expired', 'before' => $before, 'after' => $subscription->fresh()->toArray(), 'reason' => "Grace period ended, transitioned to {$newStatus}"])
UNREAD		console	app/Console/Commands/CheckSubscriptionExpiry.php:205	unscoped	read	shops	self:id	key:via>record?	ac14cf9072	\App\Models\Shop::whereKey($shopId)->lockForUpdate()->first()
UNREAD		console	app/Console/Commands/CheckSubscriptionExpiry.php:258	unscoped	read	shop_subscriptions	shop_id	orkey:via>loop	c6ac2c83ac	\App\Models\Platform\ShopSubscription::where('shop_id', $subscription->shop_id)->where('id', '>', $subscription->id)->whereIn('status', ['trial', 'active', 'grace'])->exists()
UNREAD		console	app/Console/Commands/CheckSubscriptionExpiry.php:274	unscoped	read	shop_editions	shop_id	where:via>unowned	39a482865c	\App\Models\ShopEditionAssignment::query()->where('shop_id', $shop->id)->whereNull('deactivated_at')->get()
UNREAD		console	app/Console/Commands/CheckSubscriptionExpiry.php:319	unscoped	read	shops	self:id	key:via>loop	b9bc4b8b48	\App\Models\Shop::find($subscription->shop_id)
UNREAD		console	app/Console/Commands/CleanupScanSessions.php:17	unscoped	WRITE	scan_sessions	shop_id	none:-	93c15425e4	\App\Models\ScanSession::where('status', 'active')->where('expires_at', '<', now())->update(['status' => 'expired'])
UNREAD		console	app/Console/Commands/CleanupScanSessions.php:22	unscoped	WRITE	scan_events	via:scan_sessions	none:-	7f9cea7513	\App\Models\ScanEvent::where('created_at', '<', now()->subDay())->delete()
UNREAD		console	app/Console/Commands/CleanupScanSessions.php:25	unscoped	WRITE	scan_sessions	shop_id	none:-	611b2d371c	\App\Models\ScanSession::where('status', 'expired')->where('updated_at', '<', now()->subDays(7))->delete()
UNREAD		console	app/Console/Commands/DataQualitySignals.php:33	raw	read	shops	self:id	none:-	a37cec1c4f	\Illuminate\Support\Facades\DB::table('shops')->whereRaw('is_active = TRUE')->pluck('id')->all()
UNREAD		console	app/Console/Commands/DataQualitySignals.php:69	raw	read	job_orders	shop_id	raw:via>loop	061ec70e1e	\Illuminate\Support\Facades\DB::selectOne("\n SELECT COUNT(*) AS cnt\n FROM job_orders jo\n WHERE jo.shop_id = ?\n AND jo.status IN ('completed', 'partial_return')\n AND jo.returned_fine_weight IS NOT NULL\n AND jo.issued_fine_weight IS NOT NULL\n AND ABS(jo.returned_fine_weight - jo.issued_fine_weight) < 0.001\n AND jo.actual_wastage_fine IS NOT NULL\n AND jo.actual_wastage_fine = 0\n AND jo.updated_at > NOW() - INTERVAL '30 days'\n ", [$shopId])
UNREAD		console	app/Console/Commands/DataQualitySignals.php:96	raw	read	return_line_items,return_orders	return_line_items=shop_id return_orders=shop_id	raw:via>loop	9c77c9a768	\Illuminate\Support\Facades\DB::selectOne("\n SELECT\n COUNT(*) AS total_lines,\n COUNT(CASE WHEN condition IS NULL OR condition = '' THEN 1 END) AS missing_condition,\n ROUND(100.0 * COUNT(CASE WHEN condition IS NULL OR condition = '' THEN 1 END) / NULLIF(COUNT(*), 0), 1) AS missing_pct\n FROM return_line_items rli\n JOIN return_orders ro ON ro.id = rli.return_order_id\n WHERE ro.shop_id = ?\n AND ro.created_at > NOW() - INTERVAL '30 days'\n ", [$shopId])
UNREAD		console	app/Console/Commands/DataQualitySignals.php:123	raw	read	return_orders	shop_id	raw:via>loop	9c69fc04fd	\Illuminate\Support\Facades\DB::selectOne("\n SELECT\n COUNT(*) AS total_drafts,\n COUNT(CASE WHEN created_at < NOW() - INTERVAL '3 days' THEN 1 END) AS stale_drafts\n FROM return_orders\n WHERE shop_id = ?\n AND status = 'draft'\n AND created_at > NOW() - INTERVAL '30 days'\n ", [$shopId])
UNREAD		console	app/Console/Commands/DataQualitySignals.php:148	raw	read	invoices	shop_id	raw:via>loop	af0760d55e	\Illuminate\Support\Facades\DB::selectOne("\n SELECT COUNT(*) AS override_count\n FROM invoices\n WHERE shop_id = ?\n AND gst_override = TRUE\n AND created_at > NOW() - INTERVAL '30 days'\n ", [$shopId])
UNREAD		console	app/Console/Commands/DetectStuckStates.php:34	raw	read	shops	self:id	none:-	3573a82887	\Illuminate\Support\Facades\DB::table('shops')->whereRaw('is_active = TRUE')->pluck('id')->all()
UNREAD		console	app/Console/Commands/DetectStuckStates.php:70	raw	read	items	shop_id	raw:via>loop	f5dfd5fd20	\Illuminate\Support\Facades\DB::select("\n SELECT i.id, i.barcode, i.design, i.updated_at,\n EXTRACT(DAY FROM NOW() - i.updated_at)::int AS days_stuck\n FROM items i\n WHERE i.shop_id = ?\n AND i.status = 'pending_restock'\n AND i.updated_at < NOW() - INTERVAL '14 days'\n ORDER BY i.updated_at ASC\n ", [$shopId])
UNREAD		console	app/Console/Commands/DetectStuckStates.php:101	raw	read	items,job_orders	items=shop_id job_orders=shop_id	raw:via>loop	7b61337b70	\Illuminate\Support\Facades\DB::select("\n SELECT i.id, i.barcode, i.design, i.status,\n i.updated_at,\n EXTRACT(DAY FROM NOW() - i.updated_at)::int AS days_stuck\n FROM items i\n WHERE i.shop_id = ?\n AND i.status = 'with_karigar'\n AND i.updated_at < NOW() - INTERVAL '30 days'\n AND NOT EXISTS (\n SELECT 1 FROM job_orders jo\n WHERE jo.source_item_id = i.id\n AND jo.status IN ('issued', 'partial_return')\n )\n ORDER BY i.updated_at ASC\n ", [$shopId])
UNREAD		console	app/Console/Commands/DetectStuckStates.php:139	raw	read	job_orders,karigars	job_orders=shop_id karigars=shop_id	raw:via>loop	52774bf1d8	\Illuminate\Support\Facades\DB::select("\n SELECT jo.id, jo.job_order_number, jo.status, k.name AS karigar_name,\n EXTRACT(DAY FROM NOW() - jo.updated_at)::int AS days_stuck\n FROM job_orders jo\n JOIN karigars k ON k.id = jo.karigar_id\n WHERE jo.shop_id = ?\n AND jo.status = 'partial_return'\n AND jo.updated_at < NOW() - INTERVAL '21 days'\n ORDER BY jo.updated_at ASC\n ", [$shopId])
UNREAD		console	app/Console/Commands/DetectStuckStates.php:171	raw	read	return_orders,customers	return_orders=shop_id customers=shop_id	raw:via>loop	66fbaef56f	\Illuminate\Support\Facades\DB::select("\n SELECT ro.id, ro.created_at,\n COALESCE(c.first_name || ' ' || c.last_name, 'Walk-in') AS customer_name\n FROM return_orders ro\n LEFT JOIN customers c ON c.id = ro.customer_id\n WHERE ro.shop_id = ?\n AND ro.status = 'draft'\n AND ro.created_at < NOW() - INTERVAL '7 days'\n ORDER BY ro.created_at ASC\n ", [$shopId])
UNREAD		console	app/Console/Commands/DetectStuckStates.php:201	raw	read	repairs,customers	repairs=shop_id customers=shop_id	raw:via>loop	563b30b499	\Illuminate\Support\Facades\DB::select("\n SELECT r.id, r.repair_number, r.item_description, r.status,\n r.updated_at,\n COALESCE(c.first_name || ' ' || c.last_name, 'Walk-in') AS customer_name,\n EXTRACT(DAY FROM NOW() - r.updated_at)::int AS days_stuck\n FROM repairs r\n LEFT JOIN customers c ON c.id = r.customer_id\n WHERE r.shop_id = ?\n AND r.status IN ('received', 'in_repair')\n AND r.updated_at < NOW() - INTERVAL '21 days'\n ORDER BY r.updated_at ASC\n ", [$shopId])
UNREAD		console	app/Console/Commands/DevOnboardComplete.php:36	unscoped	read	users	shop_id	none:-	ab6120f081	\App\Models\User::where('mobile_number', $this->argument('mobile'))->first()
global	no tenant table: plans — plan catalog	console	app/Console/Commands/DevOnboardComplete.php:45	unscoped	read	plans	-	token:other	9280820641	\App\Models\Platform\Plan::whereRaw('is_active IS TRUE')->where('code', "{$type}_monthly")->first()
UNREAD		console	app/Console/Commands/DhiranAccrueInterest.php:21	removed	read	dhiran_settings	shop_id	none:-	4b21ffbc54	\App\Models\Dhiran\DhiranSettings::withoutGlobalScope('shop')->whereRaw('is_enabled IS TRUE')->get()
UNREAD		console	app/Console/Commands/DhiranForfeitureCheck.php:19	removed	read	dhiran_settings	shop_id	none:-	352ee2e1fa	\App\Models\Dhiran\DhiranSettings::withoutGlobalScope('shop')->whereRaw('is_enabled IS TRUE')->get()
UNREAD		console	app/Console/Commands/DhiranOverdueReminder.php:19	removed	read	dhiran_settings	shop_id	none:-	782a9eb91a	\App\Models\Dhiran\DhiranSettings::withoutGlobalScope('shop')->whereRaw('is_enabled IS TRUE')->whereRaw('sms_reminders_enabled IS TRUE')->get()
UNREAD		console	app/Console/Commands/ExpireLoyaltyPoints.php:33	unscoped	read	shops	self:id	none:-	f0fe99a568	\App\Models\Shop::active()->orderBy('id')->pluck('id')
UNREAD		console	app/Console/Commands/OptimizeExistingImages.php:52	raw	read	?	?	none:-	74b94304df	\Illuminate\Support\Facades\DB::table($t['table'])->select(array_merge(['id'], $cols))->get()
UNREAD		console	app/Console/Commands/OptimizeExistingImages.php:91	raw	WRITE	?	?	key:record?	0845ebc45b	\Illuminate\Support\Facades\DB::table($t['table'])->where('id', $row->id)->update($update)
UNREAD		console	app/Console/Commands/PaymentRaceHarness.php:113	removed	read	roles	shop_id	where:record?	1ee78a1b22	\App\Models\Role::withoutTenant()->where('shop_id', $shop->id)->firstOrFail()
UNREAD		console	app/Console/Commands/PaymentRaceHarness.php:114	unscoped	WRITE	users	shop_id	insert:record?	fc459a48c8	\App\Models\User::factory()->create(['shop_id' => $shop->id, 'role_id' => $role->id, 'is_active' => true])
UNREAD		console	app/Console/Commands/PaymentRaceHarness.php:140	removed	read	invoices	shop_id	key:property	ac5a592ba7	\App\Models\Invoice::withoutTenant()->findOrFail($invoiceId)
UNREAD		console	app/Console/Commands/PaymentRaceHarness.php:142	raw	read	invoice_payments	shop_id	key:property	999eff5a21	\Illuminate\Support\Facades\DB::table('invoice_payments')->where('invoice_id', $invoiceId)->sum('amount')
UNREAD		console	app/Console/Commands/PaymentRaceHarness.php:147	raw	read	invoice_payments	shop_id	key:property	dd1fc2a4b5	\Illuminate\Support\Facades\DB::table('invoice_payments')->where('invoice_id', $invoiceId)->count()
UNREAD		console	app/Console/Commands/PaymentRaceHarness.php:150	raw	read	invoice_payment_claims	shop_id	key:property	40e4e07317	\Illuminate\Support\Facades\DB::table('invoice_payment_claims')->where('invoice_id', $invoiceId)->count()
UNREAD		console	app/Console/Commands/PaymentRaceHarness.php:151	raw	read	cash_transactions	shop_id	key:property	043de053ad	\Illuminate\Support\Facades\DB::table('cash_transactions')->where('invoice_id', $invoiceId)->count()
UNREAD		console	app/Console/Commands/PaymentRaceHarness.php:153	raw	read	audit_logs	shop_id	key:property	51f2caa1c1	\Illuminate\Support\Facades\DB::table('audit_logs')->where('model_type', 'invoice')->where('model_id', $invoiceId)->where('action', 'invoice_payment_recorded')->count()
UNREAD		console	app/Console/Commands/PaymentRaceHarness.php:170	raw	read	invoices	shop_id	none:-	9334a11886	\Illuminate\Support\Facades\DB::table('invoices')->where('invoice_number', 'like', 'INV-' . self::MARKER . '-%')->pluck('id')
UNREAD		console	app/Console/Commands/PaymentRaceHarness.php:181	raw	WRITE	audit_logs	shop_id	key:unowned	e1d69a876a	\Illuminate\Support\Facades\DB::table('audit_logs')->where('model_type', 'invoice')->whereIn('model_id', $invoiceIds)->delete()
UNREAD		console	app/Console/Commands/PaymentRaceHarness.php:185	raw	WRITE	cash_transactions	shop_id	key:unowned	8112982237	\Illuminate\Support\Facades\DB::table('cash_transactions')->whereIn('invoice_id', $invoiceIds)->delete()
UNREAD		console	app/Console/Commands/PaymentRaceHarness.php:186	raw	WRITE	invoice_payment_claims	shop_id	key:unowned	ab710199dd	\Illuminate\Support\Facades\DB::table('invoice_payment_claims')->whereIn('invoice_id', $invoiceIds)->delete()
UNREAD		console	app/Console/Commands/PaymentRaceHarness.php:187	raw	WRITE	invoice_payments	shop_id	key:unowned	fac9939afc	\Illuminate\Support\Facades\DB::table('invoice_payments')->whereIn('invoice_id', $invoiceIds)->delete()
UNREAD		console	app/Console/Commands/PaymentRaceHarness.php:188	raw	WRITE	invoices	shop_id	key:unowned	dffeec5856	\Illuminate\Support\Facades\DB::table('invoices')->whereIn('id', $invoiceIds)->delete()
global	no tenant table: platform_admins — platform staff	console	app/Console/Commands/PlatformAdminResetPassword.php:30	unscoped	read	platform_admins	-	none:-	44cf31fcf5	\App\Models\Platform\PlatformAdmin::where('email', $email)->first()
global	no tenant table: platform_admins — platform staff	console	app/Console/Commands/PlatformAdminUpdateContact.php:26	unscoped	read	platform_admins	-	none:-	95a0eed645	\App\Models\Platform\PlatformAdmin::where('email', $identifier)->orWhere('mobile_number', $identifier)->first()
UNREAD		console	app/Console/Commands/ProcessSchemeMaturity.php:30	raw	read	shops	self:id	none:-	9b3624cd90	\Illuminate\Support\Facades\DB::table('shops')->whereRaw('is_active = TRUE')->pluck('id')->all()
UNREAD		console	app/Console/Commands/PruneExpiredUploads.php:22	unscoped	read	pending_uploads	shop_id	none:-	36b3eec4ae	\App\Models\PendingUpload::pending()->where('expires_at', '<', now())->get()
UNREAD		console	app/Console/Commands/PruneExpiredUploads.php:27	unscoped	read	pending_uploads	shop_id	none:-	af204e82c2	\App\Models\PendingUpload::consumable()->where('expires_at', '<', now()->subHours(24))->get()
UNREAD		console	app/Console/Commands/PruneExpiredUploads.php:32	unscoped	read	pending_uploads	shop_id	none:-	2107dc9459	\App\Models\PendingUpload::where('status', 'failed')->where('created_at', '<', now()->subDays(7))->get()
UNREAD		console	app/Console/Commands/PruneIdempotencyKeys.php:85	unscoped	WRITE	idempotency_keys	shop_id	none:-	7006ea876d	\App\Models\IdempotencyKey::where('created_at', '<', $cutoff)->whereBetween('response_status', [200, 299])->delete()
UNREAD		console	app/Console/Commands/PruneIdempotencyKeys.php:91	unscoped	read	idempotency_keys	shop_id	none:-	46fd40ad60	\App\Models\IdempotencyKey::where('created_at', '<', $cutoff)->where(fn($q) => $q->where('response_status', '<', 100)->orWhere('response_status', '>', 599))->count()
UNREAD		console	app/Console/Commands/PruneIdempotencyKeys.php:95	unscoped	read	idempotency_keys	shop_id	none:-	14b8166be2	\App\Models\IdempotencyKey::where('created_at', '<', $cutoff)->whereBetween('response_status', [100, 599])->where(fn($q) => $q->where('response_status', '<', 200)->orWhere('response_status', '>', 299))->count()
UNREAD		console	app/Console/Commands/RecomputeStorageStats.php:18	unscoped	read	shops	self:id	none:-	6acdcde2ba	\App\Models\Shop::query()->select(['id'])->get()
UNREAD		console	app/Console/Commands/RecomputeStorageStats.php:55	unscoped	WRITE	shop_storage_stats	shop_id	where:record?	d1abf6b36f	\App\Models\ShopStorageStat::updateOrCreate(['shop_id' => $shop->id], ['file_count' => $totalFiles, 'total_bytes' => $totalBytes, 'breakdown' => $breakdown, 'computed_at' => now()])
UNREAD		console	app/Console/Commands/ReconcileIdempotencyClaim.php:62	unscoped	read	idempotency_keys	shop_id	key:property	c06220f736	\App\Models\IdempotencyKey::find((int) $this->option('reconcile'))
UNREAD		console	app/Console/Commands/ReconcileIdempotencyClaim.php:104	unscoped	read	idempotency_keys	shop_id	key:via>unowned	a1bc5a2a36	\App\Models\IdempotencyKey::whereKey($claim->id)->lockForUpdate()->first()
UNREAD		console	app/Console/Commands/ReconcileIdempotencyClaim.php:154	unscoped	read	idempotency_keys	shop_id	none:-	5fb20c4fa9	\App\Models\IdempotencyKey::query()->where(fn($q) => $q->where('response_status', '<', 100)->orWhere('response_status', '>', 599))->orderBy('created_at')->get()->map(fn(\App\Models\IdempotencyKey $claim) => $this->row($claim))->all()
UNREAD		console	app/Console/Commands/ReconcileKarigarBalances.php:33	raw	read	job_orders	shop_id	mention:-	51b128ee46	\Illuminate\Support\Facades\DB::table('job_orders')->distinct()->pluck('shop_id')->all()
UNREAD		console	app/Console/Commands/ReconcileKarigarBalances.php:65	raw	read	shops	self:id	key:via>loop	6e75a2624b	\Illuminate\Support\Facades\DB::table('shops')->where('id', $shopId)->value('environment')
UNREAD		console	app/Console/Commands/ReconcileKarigarBalances.php:79	raw	read	karigars,job_orders	karigars=shop_id job_orders=shop_id	raw:via>loop	914cac26e0	\Illuminate\Support\Facades\DB::select("\n SELECT k.id, k.name,\n COALESCE(jo.metal_type, 'unknown') AS metal_type,\n COUNT(jo.id) AS open_jobs,\n COALESCE(SUM(jo.issued_fine_weight\n - COALESCE(jo.returned_fine_weight, 0)\n - COALESCE(jo.leftover_returned_fine_weight, 0)\n - COALESCE(jo.retained_returned_fine_weight, 0)\n - COALESCE(jo.actual_wastage_fine, 0)), 0) AS outstanding_fine\n FROM karigars k\n JOIN job_orders jo ON jo.karigar_id = k.id\n WHERE jo.shop_id = ?\n AND jo.status IN ('issued', 'partial_return')\n GROUP BY k.id, k.name, jo.metal_type\n ORDER BY k.name ASC, metal_type ASC\n ", [$shopId])
UNREAD		console	app/Console/Commands/ReconcileKarigarBalances.php:122	raw	read	metal_lots	shop_id	raw:via>loop	1bc4d78e27	\Illuminate\Support\Facades\DB::select("\n SELECT COALESCE(metal_type, 'unknown') AS metal_type,\n COALESCE(SUM(fine_weight_remaining), 0) AS held_fine\n FROM metal_lots\n WHERE shop_id = ? AND source = 'karigar_held'\n GROUP BY metal_type\n ", [$shopId])
UNREAD		console	app/Console/Commands/ReconcileKarigarBalances.php:140	raw	read	job_orders,karigars	job_orders=shop_id karigars=shop_id	raw:via>mixed(loop,property)	4788a49794	\Illuminate\Support\Facades\DB::select("\n SELECT jo.id, jo.job_order_number, jo.job_type, jo.status,\n k.name AS karigar_name,\n jo.issued_fine_weight,\n EXTRACT(DAY FROM NOW() - jo.issue_date)::int AS days_open\n FROM job_orders jo\n JOIN karigars k ON k.id = jo.karigar_id\n WHERE jo.shop_id = ?\n AND jo.status IN ('issued', 'partial_return')\n AND jo.issue_date < NOW() - (INTERVAL '1 day' * ?)\n ORDER BY jo.issue_date ASC\n ", [$shopId, $daysOverdue])
UNREAD		console	app/Console/Commands/ReconcileKarigarBalances.php:175	raw	read	items,job_orders	items=shop_id job_orders=shop_id	raw:via>loop	aa65d80a89	\Illuminate\Support\Facades\DB::select("\n SELECT i.id, i.barcode, i.design, i.status,\n i.updated_at\n FROM items i\n WHERE i.shop_id = ?\n AND i.status = 'with_karigar'\n AND NOT EXISTS (\n SELECT 1 FROM job_orders jo\n WHERE jo.source_item_id = i.id\n AND jo.status IN ('issued', 'partial_return')\n )\n ORDER BY i.updated_at ASC\n ", [$shopId])
UNREAD		console	app/Console/Commands/ReconcileKarigarBalances.php:213	raw	read	metal_lots	shop_id	raw:via>loop	5184d9efc6	\Illuminate\Support\Facades\DB::select("\n SELECT COALESCE(metal_type, 'unknown') AS metal_type,\n COALESCE(SUM(fine_weight_remaining), 0) AS vault_fine\n FROM metal_lots\n WHERE shop_id = ? AND source <> 'karigar_held'\n GROUP BY metal_type\n ORDER BY metal_type\n ", [$shopId])
UNREAD		console	app/Console/Commands/ReconcileRateShadowWrite.php:41	raw	read	shop_daily_metal_rates	shop_id	none:-	91613c60c1	\Illuminate\Support\Facades\DB::table('shop_daily_metal_rates')
UNREAD		console	app/Console/Commands/ReconcileRateShadowWrite.php:65	raw	read	shop_daily_metal_rate_entries	shop_id	where:record?	e409aaa7d9	\Illuminate\Support\Facades\DB::table('shop_daily_metal_rate_entries')->where('shop_id', $legacy->shop_id)->whereDate('business_date', $legacy->business_date)->whereIn('metal_type', ['gold', 'silver'])->pluck('rate_per_gram', 'metal_type')
UNREAD		console	app/Console/Commands/ReconcileRateShadowWrite.php:107	embedded	read	shop_daily_metal_rates	shop_id	frag:shop_id	8a1e4b60be	\Illuminate\Support\Facades\DB::table('shop_daily_metal_rate_entries as new')->leftJoin('shop_daily_metal_rates as legacy', function ($join): void { $join->on('legacy.shop_id', '=', 'new.shop_id')->on('legacy.business_date', '=', 'new.business_date'); })->whereNull('legacy.id')->whereIn('new.metal_type', ['gold', 'silver'])
UNREAD		console	app/Console/Commands/ReconcileRateShadowWrite.php:107	raw	read	shop_daily_metal_rate_entries	shop_id	mention:-	c22fdec6c0	\Illuminate\Support\Facades\DB::table('shop_daily_metal_rate_entries as new')->leftJoin('shop_daily_metal_rates as legacy', function ($join): void { $join->on('legacy.shop_id', '=', 'new.shop_id')->on('legacy.business_date', '=', 'new.business_date'); })->whereNull('legacy.id')->whereIn('new.metal_type', ['gold', 'silver'])
UNREAD		console	app/Console/Commands/ReconcileVaultBalances.php:29	raw	read	shops	self:id	none:-	d5571190e8	\Illuminate\Support\Facades\DB::table('shops')->whereRaw('is_active = TRUE')->pluck('id')->all()
